1,0.178827
2,0.245134
3,0.165682
4,0.220815
5,0.274338
6,0.209772
7,0.175496
8,0.232317
9,0.171828
10,0.226041
11,0.181679
12,0.173253
13,0.194964
14,0.239414
15,0.216506
16,0.200616
17,0.234932
18,0.193606
19,0.171731
20,0.206911
21,0.176695
22,0.173735
23,0.230693
24,0.23135
25,0.255177
26,0.179885
27,0.187326
28,0.174097
29,0.182133
30,0.183063
31,0.19153
32,0.178038
33,0.172996
34,0.175509
35,0.191495
36,0.189874
37,0.175906
38,0.172717
39,0.198391
40,0.206249
41,0.179108
42,0.177613
43,0.175098
44,0.210825
45,0.190057
46,0.172717
47,0.269908
48,0.173488
49,0.18017
50,0.174238
51,0.263025
52,0.186263
53,0.18368
54,0.177329
55,0.19092
56,0.193065
57,0.182563
58,0.212276
59,0.180227
60,0.183507
61,0.200784
62,0.17522
63,0.202605
64,0.181251
65,0.257891
66,0.174573
67,0.200501
68,0.174078
69,0.205731
70,0.185918
71,0.174156
72,0.184492
